"instme","city","state","iclevel","net_student_tuition","loan_avg_amount","type"
"Landmark College","Putney","VT","two year",17978835,5613,"private NFP"
"Austin Graduate School of Theology","Austin","TX","four year",131225,NA,"private NFP"
"Ingalls Memorial Hospital Dietetic Internship","Harvey","IL","four year",58558,NA,"private NFP"
"Okefenokee Technical College","Waycross","GA","two year",692740,NA,"public"
"Christian Life College","Mount Prospect","IL","four year",232934,5474,"private NFP"
"Knowledge Systems Institute","Skokie","IL","four year",234340,NA,"private NFP"
"St Charles Community College","Cottleville","MO","two year",9005485,3413,"public"
"New College of Florida","Sarasota","FL","four year",555106,4071,"public"
"Metro Technology Centers","Oklahoma City","OK","two year",49719,6091,"public"
"Yeshivah Gedolah Rabbinical College","Miami Beach","FL","four year",293886,NA,"private NFP"
"Caribbean University-Ponce","Ponce","PR","four year",2836356,2635,"private NFP"
"Caribbean University-Vega Baja","Vega Baja","PR","four year",1485517,2078,"private NFP"
"Paradise Valley Community College","Phoenix","AZ","two year",7097908,3869,"public"
"Chandler/Gilbert Community College","Chandler","AZ","two year",8268409,3700,"public"
"Great Plains Technology Center","Lawton","OK","two year",1915985,NA,"public"
"Autry Technology Center","Enid","OK","two year",342160,NA,"public"
"Meridian Technology Center","Stillwater","OK","two year",258167,NA,"public"
"South Florida Bible College and Theological Semiry","Deerfield Beach","FL","four year",282508,NA,"private NFP"
"Pennsylvania College of Technology","Williamsport","PA","four year",59875846,7884,"public"
"Commonwealth Institute of Funeral Service","Houston","TX","two year",223688,8223,"private NFP"
"New York Academy of Art","New York","NY","four year",3035591,NA,"private NFP"
"Altamaha Technical College","Jesup","GA","two year",788311,NA,"public"
"Ogeechee Technical College","Statesboro","GA","two year",1312133,NA,"public"
"Southwest Florida College","Fort Myers","FL","four year",4148657,8044,"private NFP"
"Mercy/St. Luke's School of Radiologic Technology","Cedar Rapids","IA","two year",100706,NA,"private NFP"
"California State University-San Marcos","San Marcos","CA","four year",22986782,5070,"public"
"Baptist Theological Semiry at Richmond","Richmond","VA","four year",518279,NA,"private NFP"
"NorthWest Arkansas Community College","Bentonville","AR","two year",7458005,6087,"public"
"Colorado Heights University","Denver","CO","four year",1504792,NA,"private NFP"
"University of St Augustine for Health Sciences","St Augustine","FL","four year",22765966,NA,"private NFP"
"Hannibal Career and Technical Center","Hannibal","MO","two year",323790,9166,"public"
"Massachusetts School of Law","Andover","MA","four year",8264301,NA,"private NFP"
"Oregon College of Oriental Medicine","Portland","OR","four year",4398399,NA,"private NFP"
"Windham Memorial Hospital-Radiologic Technology Program","Willimantic","CT","two year",111650,NA,"private NFP"
"Adler Graduate School","Richfield","MN","four year",2997538,NA,"private NFP"
"Yeshiva Gedolah Imrei Yosef D'spinka","Brooklyn","NY","four year",3688,NA,"private NFP"
"Fond du Lac Tribal and Community College","Cloquet","MN","two year",1277000,5319,"public"
"Northeastern Hospital School of Nursing","Philadelphia","PA","two year",320521,NA,"private NFP"
"Beacon College","Leesburg","FL","four year",3552582,4043,"private NFP"
"Acupuncture and Integrative Medicine College-Berkeley","Berkeley","CA","four year",1049183,NA,"private NFP"
"Heartland Community College","Normal","IL","two year",3776712,3457,"public"
"Rabbi Jacob Joseph School","Edison","NJ","four year",298384,NA,"private NFP"
"Everglades University","Boca Raton","FL","four year",13095789,4494,"private NFP"
"Emil Fries Piano Hospital and Training Center","Vancouver","WA","two year",75650,NA,"private NFP"
"College of Biblical Studies-Houston","Houston","TX","four year",1704078,869,"private NFP"
"School of Professiol Horticulture at the New York Botanical Garden","Bronx","NY","two year",70076,NA,"private NFP"
"Watkins College of Art & Design","shville","TN","four year",4713836,6207,"private NFP"
"Soka University of America","Aliso Viejo","CA","four year",1330789,7533,"private NFP"
"World Mission University","Los Angeles","CA","four year",544305,NA,"private NFP"
"Yo San University of Traditiol Chinese Medicine","Los Angeles","CA","four year",1223249,NA,"private NFP"
"Inter American University of Puerto Rico-School of Optometry","Bayamon","PR","four year",6436756,NA,"private NFP"
"Coconino County Community College","Flagstaff","AZ","two year",1490338,5371,"public"
"Yeshivas Novominsk","Brooklyn","NY","four year",2264436,NA,"private NFP"
"Rabbinical College of Ohr Shimon Yisroel","Brooklyn","NY","four year",154151,NA,"private NFP"
"Lake Erie College of Osteopathic Medicine","Erie","PA","four year",64555106,NA,"private NFP"
"Aurora St. Luke Medical Center School of Radiologic Technology","Milwaukee","WI","two year",73468,NA,"private NFP"
"Erikson Institute","Chicago","IL","four year",2247222,NA,"private NFP"
"Lorain County Joint Vocatiol School District","Oberlin","OH","two year",1431013,2485,"public"
"Roger Williams University School of Law","Bristol","RI","four year",14603000,NA,"private NFP"
"California State University-Monterey Bay","Seaside","CA","four year",8387533,4824,"public"
"Cleveland Clinic Health System-School of Diagnostic Imaging","Euclid","OH","two year",98615,NA,"private NFP"
"East San Gabriel Valley Regiol Occupatiol Program","West Covi","CA","two year",120000,NA,"public"
"Pennsylvania Highlands Community College","Johnstown","PA","two year",2245095,3491,"public"
"Phillips Theological Semiry","Tulsa","OK","four year",567587,NA,"private NFP"
"The University of Texas M.D.  Anderson Cancer Center","Houston","TX","four year",334171,NA,"public"
"City College","Casselberry","FL","two year",2020098,8868,"private NFP"
"Augusta Area Dietetic Internship-University Hospital","Augusta","GA","four year",66400,NA,"private NFP"
"Southeast Missouri Hospital College of Nursing and Health Sciences","Cape Girardeau","MO","two year",1257845,14833,"private NFP"
"Messenger College","Joplin","MO","four year",140354,5832,"private NFP"
"Rochester General Hospital School of Medical Technology","Rochester","NY","four year",53384,NA,"private NFP"
"New York College of Health Professions","Syosset","NY","four year",6155051,6681,"private NFP"
"Career and Technology Education Centers of Licking County","Newark","OH","two year",1765235,5232,"public"
"Indian Capital Technology Center-Muskogee","Muskogee","OK","two year",306734,NA,"public"
"Marion County Community Technical and Adult Education Center","Ocala","FL","two year",2006658,NA,"public"
"Southwest College of turopathic Medicine & Health Sciences","Tempe","AZ","four year",5623953,NA,"private NFP"
"Yeshiva D'monsey Rabbinical College","Monsey","NY","four year",132942,NA,"private NFP"
"The College of Saint Thomas More","Fort Worth","TX","four year",29490,3500,"private NFP"
"Sandersville Technical College","Sandersville","GA","two year",743005,NA,"public"
"York County Community College","Wells","ME","two year",817466,4173,"public"
"Western Suffolk BOCES","Northport","NY","two year",1456167,5166,"public"
"Columbia Gorge Community College","The Dalles","OR","two year",2972601,7989,"public"
"Tillamook Bay Community College","Tillamook","OR","two year",680537,3667,"public"
"Midwestern University","Glendale","AZ","four year",86573139,NA,"private NFP"
"Oregon Coast Community College","Newport","OR","two year",1134080,5952,"public"
"Technical Education Center-Osceola","Kissimmee","FL","two year",1198317,NA,"public"
"Facultad de Derecho Eugenio Maria de Hostos","Mayaguez","PR","four year",1110307,NA,"private NFP"
"Urban College of Boston","Boston","MA","two year",1161433,NA,"private NFP"
"American College of Traditiol Chinese Medicine","San Francisco","CA","four year",3673479,NA,"private NFP"
"San Juan Bautista School of Medicine","Caguas","PR","four year",5338010,NA,"private NFP"
"Carver Career Center","Charleston","WV","two year",48596,NA,"public"
"New Hampshire Institute of Art","Manchester","NH","four year",4690359,10184,"private NFP"
"The Colorado Center for Medical Laboratory Science","Denver","CO","four year",173000,NA,"private NFP"
"Lee County High Tech Center North","Cape Coral","FL","two year",169773,NA,"public"
"Massachusetts General Hospital Dietetic Internship","Boston","MA","four year",65850,NA,"private NFP"
"Mercy Hospital School of Nursing","Pittsburgh","PA","two year",818685,5041,"private NFP"
"Yeshiva of the Telshe Alumni","Riverdale","NY","four year",1173044,NA,"private NFP"
"Appalachian School of Law","Grundy","VA","four year",7343956,NA,"private NFP"
"Delaware College of Art and Design","Wilmington","DE","two year",2056403,7021,"private NFP"
"Okaloosa Applied Technology Center","Fort Walton Beach","FL","two year",494184,NA,"public"
"Blessing Hospital School of Medical Laboratory Technology","Quincy","IL","two year",9620,NA,"private NFP"
"Carolis College of Health Sciences","Charlotte","NC","two year",2423844,5472,"public"
"Lester E Cox Medical Center-School of Medical Technology","Springfield","MO","four year",18000,NA,"private NFP"
"Western Governors University","Salt Lake City","UT","four year",79168916,5442,"private NFP"
"Florida Gulf Coast University","Fort Myers","FL","four year",21008826,6480,"public"
"tiol Labor College","Silver Spring","MD","four year",854113,NA,"private NFP"
"South Louisia Community College","Lafayette","LA","two year",1280836,NA,"public"
"Michigan Jewish Institute","W Bloomfield","MI","four year",8502739,NA,"private NFP"
"The Community College of Baltimore County","Baltimore","MD","two year",32629307,4977,"public"
"Louisia State University Health Sciences Center-Shreveport","Shreveport","LA","four year",6915587,NA,"public"
"Montessori Institute of Milwaukee","Milwaukee","WI","four year",436499,NA,"private NFP"
"Intertiol Baptist College","Chandler","AZ","four year",536664,5474,"private NFP"
"Intertiol Yacht Restoration School","Newport","RI","two year",690448,9419,"private NFP"
"Cascadia Community College","Bothell","WA","two year",3638192,NA,"public"
"Community Based Education and Development DBA CBD College","Los Angeles","CA","two year",2016075,5268,"private NFP"
"Atlantic Institute of Oriental Medicine","Fort Lauderdale","FL","four year",1422171,NA,"private NFP"
"Crossroads Bible College","Indiapolis","IN","four year",802255,7639,"private NFP"
"King's College and Semiry","Van Nuys","CA","four year",2503271,9387,"private NFP"
"WCC School of Horology","Columbia","PA","two year",349005,NA,"private NFP"
"New York College of Traditiol Chinese Medicine","Mineola","NY","four year",1613726,NA,"private NFP"
"Northeastern Semiry","Rochester","NY","four year",694393,NA,"private NFP"
"Pacific Islands Bible College","Mangilao","GU","four year",19989,NA,"private NFP"
"Rosedale Bible College","Irwin","OH","two year",438923,5876,"private NFP"
"Upper Valley Educators Institute","Lebanon","NH","four year",633216,NA,"private NFP"
"Keck Graduate Institute","Claremont","CA","four year",2011300,NA,"private NFP"
"Ivy Tech Community College-Bloominton","Bloomington","IN","two year",868964,6179,"public"
"New Saint Andrews College","Moscow","ID","four year",1319490,NA,"private NFP"
"Ates College","Mati","PR","four year",5095185,NA,"private NFP"
"Somerset Christian College","Zarephath","NJ","four year",1900846,6956,"private NFP"
"Sagiw Chippewa Tribal College","Mount Pleasant","MI","two year",66386,NA,"public"
"Richmont Graduate University","Chattanooga","TN","four year",2723529,NA,"private NFP"
"Mars Hill Graduate School","Seattle","WA","four year",3057736,NA,"private NFP"
"Irell and Manella Graduate School of Biological Sciences","Duarte","CA","four year",12000,NA,"private NFP"
"tiol Graduate School of Quality Magement","Falmouth","MA","four year",7078543,NA,"private NFP"
"Texas County Technical Institute","Houston","MO","two year",2080825,5656,"private NFP"
"Apex School of Theology","Durham","NC","four year",185,3675,"private NFP"
"Yeshiva Shaarei Torah of Rockland","Suffern","NY","four year",311183,NA,"private NFP"
